Date,high,low,open,close,kdjk,kdjd,rsi_6,rsi_12,macd,cci,wr_10,wma10,Point
2001/1/1,0.981742978,0.963101983,0.965925992,0.972705007,8.292524205,8.717665159,23.10121086,17.94039192,-0.004944492,-55.95510564,94.73696738,0.978949274,0
2001/1/2,0.991346002,0.965925992,0.974398971,0.982307971,14.14518225,10.52683752,39.45029289,29.02391694,-0.004268666,-38.66479458,74.14950165,0.977244469,1
2001/1/3,0.986827016,0.972705007,0.985696971,0.977223992,17.76344726,12.93904077,34.75587522,26.92367311,-0.003994377,-39.31294013,80.27219967,0.975816923,0
2001/1/4,0.982307971,0.965925992,0.979483008,0.969316006,20.03897505,15.30568553,28.43915455,23.9792507,-0.004184678,-52.19129416,87.0688769,0.973773179,0
2001/1/5,0.968751013,0.947851002,0.967621028,0.955758989,19.41977327,16.67704811,20.69974417,19.90759248,-0.005058483,-84.10269474,83.33371019,0.97021965,0
2001/1/8,0.954064012,0.932599008,0.953499019,0.937117994,15.51061027,16.2882355,14.2852212,15.86641419,-0.006759109,-154.6004239,92.30771572,0.964036849,-1
2001/1/9,0.96479702,0.932599008,0.936553001,0.961971998,27.00678604,19.86108568,42.69642476,35.04503809,-0.006457191,-107.2605012,50.00086241,0.96299945,0
2001/1/10,0.969316006,0.948979974,0.963666975,0.961971998,34.67090323,24.79769153,42.69642476,35.04503809,-0.006146804,-64.71224849,50.00086241,0.962259905,0
2001/1/11,0.999818981,0.960277975,0.961971998,0.981742978,47.48366177,32.35968161,58.46631587,46.57442456,-0.00458708,86.13558058,26.89082113,0.965197247,0
2001/1/12,0.99417001,0.971575022,0.982307971,0.990216017,60.2271482,41.64883714,63.6156787,50.66816837,-0.002789089,109.3673943,14.28587896,0.969367033,0
2001/1/15,0.991346002,0.937682986,0.990216017,0.946156025,46.8741448,43.39060636,35.86727909,35.31681258,-0.004241657,-62.00180671,79.83186199,0.965207529,0
2001/1/16,0.965362012,0.941071987,0.946156025,0.961407006,45.53486547,44.1053594,45.70449611,41.95731516,-0.004304119,-67.00122334,57.14369318,0.96430364,0
2001/1/17,0.987390995,0.960277975,0.963101983,0.971010029,49.4040018,45.87157353,51.34376207,45.78081684,-0.003657058,34.14490504,42.85772555,0.965525772,0
2001/1/18,0.991346002,0.965362012,0.971575022,0.983437002,58.14576731,49.96297146,58.1014253,50.39393396,-0.002267613,71.17087543,24.37070167,0.969120336,0
2001/1/19,0.99417001,0.971575022,0.985696971,0.991346002,67.89556037,55.9405011,62.1194431,53.16084599,-0.000617977,92.0208639,12.6048535,0.973896153,0
2001/1/22,0.99417001,0.971575022,0.985696971,0.991346002,74.05164529,61.97754916,62.1194431,53.16084599,0.000672105,87.2254457,12.6048535,0.978024935,0
2001/1/23,0.99417001,0.971575022,0.985696971,0.991346002,78.15570191,67.37026674,62.1194431,53.16084599,0.001668492,81.98579967,13.63618486,0.981167752,0
2001/1/24,0.99417001,0.971575022,0.985696971,0.991346002,83.77067018,72.83706789,62.1194431,53.16084599,0.002425322,72.69463414,13.63618486,0.983776497,0
2001/1/25,0.99417001,0.971575022,0.985696971,0.991346002,87.51398237,77.72937272,62.1194431,53.16084599,0.002987177,65.02792758,4.999393265,0.985851169,0
2001/1/26,0.99417001,0.971575022,0.985696971,0.991346002,89.90316112,81.78730218,62.1194431,53.16084599,0.003390815,59.20447406,4.999393265,0.98775124,0
2001/1/29,0.99417001,0.971575022,0.985696971,0.991346002,90.49131872,84.68864103,62.1194431,53.16084599,0.003666566,54.64062232,5.318481383,0.989630766,0
2001/1/30,0.99417001,0.971575022,0.985696971,0.991346002,90.39325824,86.5901801,62.1194431,53.16084599,0.003839454,51.40015042,8.332366069,0.990688657,0
2001/1/31,0.99417001,0.971575022,0.985696971,0.991346002,89.42937741,87.5365792,62.1194431,53.16084599,0.003930123,46.99323921,9.802862712,0.991202202,0
2001/2/1,0.99417001,0.971575022,0.985696971,0.991346002,88.78679019,87.9533162,62.1194431,53.16084599,0.00395559,46.66666667,12.49838425,0.991346002,0
2001/2/2,0.99417001,0.971575022,0.985696971,0.991346002,88.35839871,88.0883437,62.1194431,53.16084599,0.003929862,42.42424242,12.49838425,0.991346002,0
2001/2/5,0.996994019,0.95914799,0.995863974,0.960277975,59.90084654,78.69251132,16.35164921,33.84761571,0.00153918,-209.1259482,97.01425779,0.985697269,0
2001/2/6,0.961971998,0.938247979,0.960277975,0.961407006,53.074657,70.15322654,18.95557777,34.78686087,-0.000263679,-327.9667033,60.57772209,0.980818689,0
2001/2/7,0.963101983,0.948979974,0.961407006,0.951804996,43.07554764,61.12733358,14.38541593,30.73782696,-0.002396401,-198.9543778,76.92267108,0.974738634,0
2001/2/8,0.954064012,0.933164001,0.951804996,0.934858978,29.60218336,50.61895017,9.522977991,25.11067532,-0.00532288,-195.4200129,97.34454519,0.966296412,-1
